CLEANED NAME,GAME RESULT,POINT DIFFERENCE,PACE,HOME TEAM OFFENSIVE RATING,HOME TEAM DEFENSIVE RATING,HOME TEAM 2PT%,HOME TEAM 3PT%,HOME TEAM FT%,HOME TEAM REBOUNDS,HOME TEAM ASSISTS,HOME TEAM STEALS,HOME TEAM BLOCKS,HOME TEAM TURNOVERS,HOME TEAM AVERAGE PLUS/MINUS,HOME TEAM DOUBLE DOUBLES,HOME TEAM TOP 50 CONTRACT PLAYERS,AWAY TEAM OFFENSIVE RATING,AWAY TEAM DEFENSIVE RATING,AWAY TEAM 2PT%,AWAY TEAM 3PT%,AWAY TEAM FT%,AWAY TEAM REBOUNDS,AWAY TEAM ASSISTS,AWAY TEAM STEALS,AWAY TEAM BLOCKS,AWAY TEAM TURNOVERS,AWAY TEAM AVERAGE PLUS/MINUS,AWAY TEAM DOUBLE DOUBLES,AWAY TEAM TOP 50 CONTRACT PLAYERS
20200813-H-ORL-A-NOP,1,6,101.1,131.6,126.1,0.589285714,0.535714286,0.733333333,33,25,6,2,12,3,0,1,125.7,131.1111111,0.716981132,0.294117647,0.777777778,40,22,6,4,13,-3.333333333,1,0
20200813-H-PHO-A-DAL,1,26,95.2,134.5,107.5454545,0.636363636,0.411764706,0.761904762,45,34,6,4,5,11.81818182,0,1,107.2,134.3846154,0.492063492,0.307692308,0.842105263,43,17,3,4,11,-10,1,0
20200813-H-UTA-A-SAS,1,6,98.5,119.8,113.3076923,0.581818182,0.326086957,0.9,43,25,7,5,8,2.307692308,0,1,113.7,119.8888889,0.491525424,0.5,0.666666667,44,24,4,8,15,-3.333333333,1,0
20200814-H-HOU-A-PHI,0,38,102.3,93.9,130.9166667,0.71875,0.25,0.875,27,25,10,9,17,-15.83333333,1,1,131,94.07692308,0.632653061,0.473684211,0.818181818,51,31,8,4,16,14.61538462,0,3
20200814-H-IND-A-MIA,1,17,100.3,108.7,92.75,0.549019608,0.394736842,0.727272727,51,32,11,3,19,7.083333333,1,1,91.8,108.9,0.428571429,0.263157895,0.740740741,48,14,6,5,19,-8.5,0,0
20200814-H-LAC-A-OKC,1,4,101.7,95.2,91.375,0.458333333,0.324324324,0.692307692,61,23,10,2,20,2.5,2,0,91.7,96.07692308,0.387096774,0.318181818,0.590909091,48,18,5,6,16,-1.538461538,1,2
20200814-H-TOR-A-DEN,1,8,100.7,116.2,108.2,0.490909091,0.514285714,0.642857143,51,27,8,5,19,4,0,1,108.2,116.4615385,0.408163265,0.421052632,0.913043478,41,27,9,11,15,-3.076923077,0,3
20200815-H-POR-A-MEM,1,4,104.1,121,117,0.522727273,0.375,0.853658537,39,20,12,7,13,2.222222222,2,3,117.2,119.4444444,0.462686567,0.56,0.818181818,49,30,5,6,18,-2.222222222,1,0
20200817-H-BOS-A-PHI,1,8,90.4,120.6,114.0909091,0.474576271,0.322580645,0.884615385,43,22,12,4,7,3.636363636,1,4,111.8,120.4444444,0.528301887,0.333333333,0.782608696,50,23,5,3,18,-4.444444444,1,3
20200817-H-DEN-A-UTA,1,10,94,130,118.6666667,0.5,0.536585366,0.833333333,41,23,10,6,11,5.555555556,1,3,120.4,130.6666667,0.6,0.340425532,0.739130435,52,18,6,4,15,-5.555555556,0,2
